Date,Closing_Price
2021-03-29,30.24
2021-03-30,30.33
2021-03-31,30.2
2021-04-01,30.07
2021-04-05,30.43
2021-04-06,29.61
2021-04-07,29.92
2021-04-08,29.47
2021-04-09,29.68
2021-04-12,29.78
2021-04-13,29.91
2021-04-14,30.39
2021-04-15,30.59
2021-04-16,30.67
2021-04-19,30.68
2021-04-20,29.89
2021-04-21,30.05
2021-04-22,30.24
2021-04-23,30.43
2021-04-26,30.52
2021-04-27,30.18
2021-04-28,30.4
2021-04-29,30.37
2021-04-30,29.82
2021-05-03,30.1
2021-05-04,29.89
2021-05-05,30.28
2021-05-06,30.66
2021-05-07,30.93
2021-05-10,31.3
2021-05-11,30.52
2021-05-12,29.85
2021-05-13,30.51
2021-05-14,30.25
2021-05-17,29.9
2021-05-18,30.51
2021-05-19,30.36
2021-05-20,30.63
2021-05-21,30.98
2021-05-24,31.1
2021-05-25,30.38
2021-05-26,30.48
2021-05-27,30.98
2021-05-28,31.26
2021-06-01,31.13
2021-06-02,32.31
2021-06-03,33.06
2021-06-04,33.2
2021-06-07,32.86
2021-06-08,32.87
2021-06-09,32.83
2021-06-10,32.74
2021-06-11,33.14
2021-06-14,32.61
2021-06-15,32.8
2021-06-16,32.8
2021-06-17,32.53
2021-06-18,31.71
2021-06-21,31.7
2021-06-22,31.72
2021-06-23,31.64
2021-06-24,32.04
2021-06-25,32.47
2021-06-28,32.7
2021-06-29,32.52
2021-06-30,32.18
2021-07-01,32.27
2021-07-02,32.33
2021-07-06,32.02
2021-07-07,32.07
2021-07-08,31.38
2021-07-09,32.04
2021-07-12,32.35
2021-07-13,32.41
2021-07-14,32.54
2021-07-15,32.07
2021-07-16,31.65
2021-07-19,31.07
2021-07-20,31.52
2021-07-21,31.67
2021-07-22,31.31
2021-07-23,31.44
2021-07-26,31.49
2021-07-27,31.28
2021-07-28,31.83
2021-07-29,32.36
2021-07-30,32.1
2021-08-02,32.53
2021-08-03,32.86
2021-08-04,33.15
2021-08-05,33.15
2021-08-06,33.29
2021-08-09,33.26
2021-08-10,32.8
2021-08-11,33.12
2021-08-12,32.75
2021-08-13,32.54
2021-08-16,32.41
2021-08-17,31.78
2021-08-18,31.56
2021-08-19,30.74
2021-08-20,29.8
2021-08-23,30.11
2021-08-24,30.2
2021-08-25,30.1
2021-08-26,29.39
2021-08-27,29.85
2021-08-30,29.88
2021-08-31,30.26
2021-09-01,30.45
2021-09-02,30.46
2021-09-03,30.82
2021-09-07,31.13
2021-09-08,31.18
2021-09-09,30.91
2021-09-10,30.83
2021-09-13,31.02
2021-09-14,30.95
2021-09-15,31.16
2021-09-16,31.2
2021-09-17,30.98
2021-09-20,30.4
2021-09-21,30.55
2021-09-22,30.52
2021-09-23,30.8
