Date,Closing_Price
2021-03-29,109.13
2021-03-30,110.27
2021-03-31,109.27
2021-04-01,109.38
2021-04-05,111.02
2021-04-06,113.15
2021-04-07,113.19
2021-04-08,113.04
2021-04-09,113.18
2021-04-12,113.81
2021-04-13,115.36
2021-04-14,115.16
2021-04-15,116.66
2021-04-16,118.34
2021-04-19,117.6
2021-04-20,116.27
2021-04-21,116.74
2021-04-22,115.92
2021-04-23,117.56
2021-04-26,115.92
2021-04-27,116.15
2021-04-28,112.4
2021-04-29,114.63
2021-04-30,114.49
2021-05-03,115.72
2021-05-04,114.11
2021-05-05,113.48
2021-05-06,114.74
2021-05-07,114.34
2021-05-10,114.3
2021-05-11,113.55
2021-05-12,109.79
2021-05-13,110.49
2021-05-14,111.2
2021-05-17,110.98
2021-05-18,111.07
2021-05-19,109.67
2021-05-20,111.41
2021-05-21,110.92
2021-05-24,112.52
2021-05-25,112.63
2021-05-26,112.85
2021-05-27,113.51
2021-05-28,113.88
2021-06-01,113.34
2021-06-02,113
2021-06-03,111.12
2021-06-04,111.99
2021-06-07,111.33
2021-06-08,111.52
2021-06-09,111.39
2021-06-10,112.21
2021-06-11,112.56
2021-06-14,112.45
2021-06-15,111.89
2021-06-16,111.36
2021-06-17,111.39
2021-06-18,109.7
2021-06-21,110.97
2021-06-22,111.85
2021-06-23,111.56
2021-06-24,111.99
2021-06-25,113.04
2021-06-28,112.24
2021-06-29,112.27
2021-06-30,111.81
2021-07-01,113.41
2021-07-02,114.97
2021-07-06,115.73
2021-07-07,117.14
2021-07-08,115.99
2021-07-09,117.47
2021-07-12,118.46
2021-07-13,119.55
2021-07-14,119.8
2021-07-15,118.97
2021-07-16,118.73
2021-07-19,115.32
2021-07-20,117.42
2021-07-21,119.27
2021-07-22,122.63
2021-07-23,125.97
2021-07-26,126.06
2021-07-27,126.03
2021-07-28,122.41
2021-07-29,122.38
2021-07-30,121.43
2021-08-02,120.37
2021-08-03,119.13
2021-08-04,118.25
2021-08-05,119.03
2021-08-06,119.05
2021-08-09,117.94
2021-08-10,116.39
2021-08-11,116.5
2021-08-12,115.75
2021-08-13,116.76
2021-08-16,117.54
2021-08-17,116.57
2021-08-18,115.68
2021-08-19,114.32
2021-08-20,114.63
2021-08-23,115.15
2021-08-24,115.08
2021-08-25,115.57
2021-08-26,114.32
2021-08-27,115.12
2021-08-30,115.61
2021-08-31,117.49
2021-09-01,117.45
