Date,Closing_Price
2021-03-29,203.7633
2021-03-30,211.8733
2021-03-31,222.6433
2021-04-01,220.5833
2021-04-05,230.35
2021-04-06,230.54
2021-04-07,223.6567
2021-04-08,227.9333
2021-04-09,225.6733
2021-04-12,233.9933
2021-04-13,254.1067
2021-04-14,244.0767
2021-04-15,246.2833
2021-04-16,246.5933
2021-04-19,238.21
2021-04-20,239.6633
2021-04-21,248.04
2021-04-22,239.8967
2021-04-23,243.1333
2021-04-26,246.0667
2021-04-27,234.9133
2021-04-28,231.4667
2021-04-29,225.6667
2021-04-30,236.48
2021-05-03,228.3
2021-05-04,224.5333
2021-05-05,223.6467
2021-05-06,221.18
2021-05-07,224.1233
2021-05-10,209.68
2021-05-11,205.7333
2021-05-12,196.63
2021-05-13,190.5633
2021-05-14,196.58
2021-05-17,192.2767
2021-05-18,192.6233
2021-05-19,187.82
2021-05-20,195.5933
2021-05-21,193.6267
2021-05-24,202.1467
2021-05-25,201.5633
2021-05-26,206.3767
2021-05-27,210.2833
2021-05-28,208.4067
2021-06-01,207.9667
2021-06-02,201.7067
2021-06-03,190.9467
2021-06-04,199.6833
2021-06-07,201.71
2021-06-08,201.1967
2021-06-09,199.5933
2021-06-10,203.3733
2021-06-11,203.2967
2021-06-14,205.8967
2021-06-15,199.7867
2021-06-16,201.6233
2021-06-17,205.5333
2021-06-18,207.77
2021-06-21,206.9433
2021-06-22,207.9033
2021-06-23,218.8567
2021-06-24,226.6067
2021-06-25,223.9567
2021-06-28,229.5733
2021-06-29,226.92
2021-06-30,226.5667
2021-07-01,225.9733
2021-07-02,226.3
2021-07-06,219.86
2021-07-07,214.8833
2021-07-08,217.6033
2021-07-09,218.9833
2021-07-12,228.5667
2021-07-13,222.8467
2021-07-14,217.7933
2021-07-15,216.8667
2021-07-16,214.74
2021-07-19,215.4067
2021-07-20,220.1667
2021-07-21,218.43
2021-07-22,216.42
2021-07-23,214.46
2021-07-26,219.2067
2021-07-27,214.9267
2021-07-28,215.66
2021-07-29,225.7833
2021-07-30,229.0667
2021-08-02,236.5567
2021-08-03,236.58
2021-08-04,236.9733
2021-08-05,238.21
2021-08-06,233.0333
2021-08-09,237.92
2021-08-10,236.6633
2021-08-11,235.94
2021-08-12,240.75
2021-08-13,239.0567
2021-08-16,228.7233
2021-08-17,221.9033
2021-08-18,229.6633
2021-08-19,224.49
2021-08-20,226.7533
2021-08-23,235.4333
2021-08-24,236.1633
2021-08-25,237.0667
2021-08-26,233.72
2021-08-27,237.3067
2021-08-30,243.6367
2021-08-31,245.24
2021-09-01,244.6967
2021-09-02,244.13
2021-09-03,244.5233
2021-09-07,250.9733
2021-09-08,251.29
2021-09-09,251.62
2021-09-10,245.4233
2021-09-13,247.6667
2021-09-14,248.1633
2021-09-15,251.9433
2021-09-16,252.33
2021-09-17,253.1633
2021-09-20,243.39
2021-09-21,246.46
2021-09-22,250.6467
2021-09-23,251.2133
2021-09-24,258.13
2021-09-27,263.7867
2021-09-28,259.1867
2021-09-29,260.4367
2021-09-30,258.4933
2021-10-01,258.4067
2021-10-04,260.51
2021-10-05,260.1967
2021-10-06,260.9167
2021-10-07,264.5367
2021-10-08,261.83
2021-10-11,263.98
2021-10-12,268.5733
2021-10-13,270.36
2021-10-14,272.7733
2021-10-15,281.01
2021-10-18,290.0367
2021-10-19,288.09
2021-10-20,288.6
2021-10-21,298
2021-10-22,303.2267
2021-10-25,341.62
2021-10-26,339.4767
2021-10-27,345.9533
2021-10-28,359.0133
2021-10-29,371.3333
2021-11-01,402.8633
2021-11-02,390.6667
2021-11-03,404.62
2021-11-04,409.97
2021-11-05,407.3633
2021-11-08,387.6467
2021-11-09,341.1667
2021-11-10,355.9833
2021-11-11,354.5033
2021-11-12,344.4733
2021-11-15,337.7967
2021-11-16,351.5767
2021-11-17,363.0033
2021-11-18,365.46
2021-11-19,379.02
2021-11-22,385.6233
2021-11-23,369.6767
2021-11-24,372
2021-11-26,360.64
2021-11-29,378.9967
2021-11-30,381.5867
2021-12-01,365
2021-12-02,361.5333
2021-12-03,338.3233
2021-12-06,336.3367
2021-12-07,350.5833
2021-12-08,356.32
2021-12-09,334.6
2021-12-10,339.01
2021-12-13,322.1367
2021-12-14,319.5033
2021-12-15,325.33
2021-12-16,308.9733
2021-12-17,310.8567
2021-12-20,299.98
2021-12-21,312.8433
2021-12-22,336.29
2021-12-23,355.6667
2021-12-27,364.6467
2021-12-28,362.8233
2021-12-29,362.0633
2021-12-30,356.78
2021-12-31,352.26
2022-01-03,399.9267
2022-01-04,383.1967
2022-01-05,362.7067
2022-01-06,354.9
2022-01-07,342.32
2022-01-10,352.7067
2022-01-11,354.8
2022-01-12,368.74
2022-01-13,343.8533
2022-01-14,349.87
2022-01-18,343.5033
2022-01-19,331.8833
2022-01-20,332.09
2022-01-21,314.6333
2022-01-24,310
2022-01-25,306.1333
2022-01-26,312.47
2022-01-27,276.3667
2022-01-28,282.1167
2022-01-31,312.24
2022-02-01,310.4167
2022-02-02,301.8867
2022-02-03,297.0467
2022-02-04,307.7733
2022-02-07,302.4467
2022-02-08,307.3333
2022-02-09,310.6667
2022-02-10,301.5167
2022-02-11,286.6667
2022-02-14,291.92
2022-02-15,307.4767
2022-02-16,307.7967
2022-02-17,292.1167
2022-02-18,285.66
2022-02-22,273.8433
2022-02-23,254.68
2022-02-24,266.9233
2022-02-25,269.9567
2022-02-28,290.1433
2022-03-01,288.1233
2022-03-02,293.2967
2022-03-03,279.7633
2022-03-04,279.43
2022-03-07,268.1933
2022-03-08,274.8
2022-03-09,286.3233
2022-03-10,279.4333
2022-03-11,265.1167
2022-03-14,255.4567
2022-03-15,267.2967
2022-03-16,280.0767
2022-03-17,290.5333
2022-03-18,301.7967
2022-03-21,307.0533
2022-03-22,331.3267
2022-03-23,333.0367
2022-03-24,337.9733
2022-03-25,336.88
2022-03-28,363.9467
2022-03-29,366.5233
2022-03-30,364.6633
